id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,bandung,jarak,harga_satuan,lon,lat
HO620DEA457AA27ID,house,35000000000,6,3,4,600,1012,Rumah tinggal hoek dan Asri dekat Gedung Sate Bandung,https://www.lamudi.co.id/rumah-tinggal-hoek-dan-asri-dekat-gedung-sate-bandung.html,true,2.8541038306321567,21712158.808933,107.626743,-6.908361
HO62897757A1DCBID,house,835000000,2,1,1,50,110,Dijual Rumah di Cluster Cikutra ,https://www.lamudi.co.id/dijual-rumah-di-cluster-cikutra.html,true,5.0749703859482675,5218750,107.633425,-6.885661
HO631B104B084C4ID,house,1050000000,3,2,1,82,75,Dijual Rumah Komplek Elite Grand Sharon Siap Huni,https://www.lamudi.co.id/dijual-rumah-komplek-elite-grand-sharon-siap-huni-166271802786.html,true,8.699032735968027,6687898.089171975,107.678621,-6.946481
HO635BC7B3B3233ID,house,650000000,2,2,1,70,98,frds Rumah komplek Bumi Adipura,https://www.lamudi.co.id/frds-rumah-komplek-bumi-adipura-166695928345.html,true,10.116172249436973,3869047.619047619,107.691481,-6.948478
CO630EE49E70F34ID,commercial-1,6000000000,,,4,500,328,"Murah Mendekati NJOP , Mainroad Jl.Kopo Atas",https://www.lamudi.co.id/murah-mendekati-njop-mainroad-jl-kopo-atas-166192041470.html,true,1.0662210843096867,7246376.811594203,107.598157,-6.928372
CO5F368122E55EEID,commercial-1,1000000000,,,0,1800,5900,Pabrik Cipatik,https://www.lamudi.co.id/pabrik-cipatik-2.html,true,3.093781160443484,129870.12987012987,107.604174,-6.893036
HO620746F59F083ID,house,2500000000,4,2,2,200,230,Rumah Tengah Kota Bandung Jalan Elang,https://www.lamudi.co.id/rumah-tengah-kota-bandung-jalan-elang.html,true,2.458177559145477,5813953.488372093,107.584466,-6.910538
LA5F2CFB3873014ID,land,175000000,,,,,87,KAVLING KOTA MURAH AKSES BISA KEMANA MANA,https://www.lamudi.co.id/kavling-kota-murah-akses-bisa-kemana-mana.html,true,2.5286454486389296,,107.58206,-6.91487
HO60F9904F441B1ID,house,565000000,2,1,1,36,60,Rumah 2 Bedroom Minimalis Dekat Lapangan Golf Arcamanik Bandung,https://www.lamudi.co.id/rumah-2-bedroom-minimalis-dekat-lapangan-golf-arcamanik-bandung.html,true,8.204675279315707,5885416.666666667,107.678485,-6.921383
HO62E7D7A16EB29ID,house,3500000000,4,3,2,210,252,Rumah Murah Setra Indah Siap Huni,https://www.lamudi.co.id/rumah-murah-setra-indah-siap-huni-165936118533.html,true,3.5622759096328287,7575757.575757576,107.594899,-6.89017
HO630F4C2727878ID,house,8850000000,9,3,3,350,327,Rumah terawat di jl Nanas dekat A.Yani -Riau,https://www.lamudi.co.id/rumah-terawat-di-jl-nanas-dekat-a-yani-riau-166194691983.html,true,3.2372242795144586,13072378.138847858,107.632577,-6.91367
HO619F7C1FA5171ID,house,1800000000,5,3,,150,144,Jual Rumah Strategis di tengah Kota Bandung,https://www.lamudi.co.id/jual-rumah-strategis-di-tengah-kota-bandung.html,true,3.691945628097875,6122448.979591837,107.636771,-6.928229
HO633EB0C83FCABID,house,3200000000,3,3,3,147,138,Jual Rumah minimalis  di perumahan Cigadung Bandung,https://www.lamudi.co.id/jual-rumah-minimalis-di-perumahan-cigadung-bandung-166505287242.html,true,5.2991803888943805,11228070.175438596,107.62586,-6.87835
CO628F76BDAB355ID,commercial-1,10750000000,,,,550,297,JUAL CEPAT RUKO PUSAT KOTA BANDUNG DI PUNGKUR ,https://www.lamudi.co.id/jual-cepat-ruko-pusat-kota-bandung-di-pungkur.html,true,1.6947673342002296,12691853.60094451,107.616745,-6.929588
HO5F36725716401ID,house,25000000000,5,4,0,710,295,Rumah Sukahaji,https://www.lamudi.co.id/rumah-sukahaji-2.html,true,5.909023233528281,24875621.890547264,107.58611,-6.87083
AP625880A7B2575ID,apartment,495000000,3,1,,53,,Dijual Cepat - Apartemen 3 KT 53m2 Gateway Cicadas Bandung,https://www.lamudi.co.id/dijual-cepat-apartemen-3-kt-53m2-gateway-cicadas-bandung.html,true,4.7563304526411105,,107.644919,-6.906991
HO614AF7A1B9586ID,house,675000000,2,2,,45,65,Rumah Daerah Rancasari Bandung 2 Lantai Minimalis Modern,https://www.lamudi.co.id/rumah-daerah-rancasari-bandung-2-lantai-minimalis-modern.html,true,8.657193090224894,6136363.636363637,107.679194,-6.943514
HO633BEBA78494DID,house,500000000,2,1,1,42,75,Rumah onegate sindanglaya nyaman sekaligus investasi air bersih 8 unit lagi,https://www.lamudi.co.id/rumah-onegate-sindanglaya-nyaman-sekaligus-investa-166487133599.html,true,8.68501846005537,4273504.273504274,107.68083,-6.90333
HO63576B04E15F2ID,house,6250000000,5,4,6,289,726,Rumah Kece Sayap Dago,https://www.lamudi.co.id/rumah-kece-sayap-dago-166667341276.html,true,4.728340219181134,6157635.467980295,107.61255,-6.87916
LA635771EF70510ID,land,870000000,,,,,174,Tanah Hook MArgahayu,https://www.lamudi.co.id/tanah-hook-margahayu-166667518393.html,true,6.784511819153416,,107.65781,-6.95063
HO633E48A3679A0ID,house,11000000000,8,5,3,500,372,Rumah Komplek Griya Mas Bandung Siap Huni,https://www.lamudi.co.id/rumah-komplek-griya-mas-bandung-siap-huni-166502621148.html,true,4.943222883427852,12614678.89908257,107.57501,-6.887112
